SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
1,1,0,0,1,29,3,17,4,8,83,105,3,0,0,0,0,1,108,4,24,23,15,1,0,0,2,3,52,0,21,6,0,0,2,0,1,7,525,0.39652567975830816
2,0,1,0,1,14,1,13,7,6,53,53,0,3,0,0,1,1,59,4,4,17,7,0,0,5,6,1,18,0,8,0,0,1,1,0,1,3,289,0.4565560821484992
3,0,4,0,1,25,1,12,11,6,55,62,0,4,0,0,0,0,44,4,9,20,7,5,0,0,4,2,32,1,11,0,0,1,5,0,0,7,333,0.4178168130489335
4,0,1,0,4,15,0,9,6,0,34,66,2,2,0,0,1,1,48,5,5,11,16,0,0,1,10,1,12,0,6,2,0,1,0,0,0,2,261,0.2430167597765363
5,0,0,1,1,15,0,15,25,7,67,81,1,5,0,1,3,0,61,4,11,16,14,0,0,0,5,2,18,0,7,3,0,0,3,2,0,3,371,0.4163860830527497
6,0,1,0,4,23,1,18,15,5,70,74,1,2,0,1,0,0,52,9,8,10,13,1,1,1,5,2,15,1,6,2,0,3,1,0,0,2,349,0.46720214190093706
7,0,0,0,5,38,0,32,25,1,99,86,0,6,0,0,0,0,31,8,2,15,2,1,0,6,7,3,36,0,9,4,0,1,0,0,1,0,418,0.37155555555555553
8,0,0,1,3,14,0,4,2,5,25,25,0,0,0,0,1,1,29,2,3,13,3,0,2,0,3,1,17,0,3,0,0,0,0,1,1,4,163,0.24511278195488723
9,0,0,0,1,16,1,22,24,5,63,67,0,6,0,0,0,3,89,5,6,12,9,1,0,2,5,0,26,2,10,0,1,1,2,0,0,2,381,0.43197278911564624
10,1,1,1,8,25,0,19,20,2,69,68,0,5,0,1,2,1,52,4,5,21,13,0,0,3,1,1,37,0,5,1,0,1,1,0,1,4,373,0.3885416666666667
11,0,0,1,8,28,1,24,13,13,104,97,0,7,0,0,0,0,68,4,5,14,11,0,0,3,6,0,19,0,10,1,0,1,1,0,0,1,440,0.5250596658711217
12,0,0,1,7,21,0,14,19,2,62,75,2,3,0,0,0,0,31,15,14,18,9,0,0,1,4,1,24,0,5,2,0,0,1,0,0,2,333,0.3580645161290323
13,0,0,0,2,28,2,27,32,9,69,72,2,5,0,1,0,1,36,7,9,19,14,0,1,2,7,2,34,1,7,2,2,4,1,0,0,9,408,0.45484949832775917
14,0,0,3,8,30,3,23,28,7,124,134,1,6,0,0,1,1,81,7,19,27,19,0,0,1,7,1,31,0,3,0,0,0,1,0,0,3,570,0.5387523629489603
15,0,0,0,6,33,0,18,10,6,73,80,1,6,0,0,1,0,60,6,9,20,21,0,0,2,11,2,37,1,12,4,0,1,0,0,0,0,420,0.48220436280137774
16,0,0,1,7,24,3,14,13,1,64,89,1,3,0,0,1,0,71,2,4,14,18,0,0,2,3,1,30,0,7,0,0,0,1,0,0,2,377,0.49605263157894736
17,0,0,0,7,30,0,15,17,2,77,121,4,4,0,1,1,2,68,8,4,13,19,0,0,2,4,0,49,0,9,4,1,3,0,0,1,1,467,0.5217877094972067
18,0,0,0,1,16,1,7,3,1,50,115,0,0,0,0,0,0,41,5,7,11,25,0,0,1,0,2,6,0,8,2,0,1,1,0,1,0,306,0.5177664974619289
19,0,0,0,1,15,2,5,6,1,32,73,0,1,0,1,0,2,38,2,9,15,13,0,0,0,2,1,14,0,6,0,0,1,0,0,0,0,241,0.2993788819875776
20,0,0,0,6,24,0,3,8,2,54,161,1,3,0,0,0,0,63,14,14,23,19,0,2,3,4,1,20,1,10,0,0,0,0,0,0,0,436,0.4898876404494382
21,0,0,2,7,22,1,10,19,8,90,138,0,2,0,0,0,2,66,5,7,31,20,2,1,2,4,2,22,0,15,1,0,1,1,0,1,2,484,0.5336273428886439
22,0,0,0,8,25,3,6,12,2,87,126,2,2,0,0,0,1,71,6,12,26,28,0,1,2,9,2,23,3,18,0,1,1,0,0,2,2,482,0.48055832502492524
23,0,0,0,1,17,1,7,4,2,49,86,1,1,0,0,0,0,65,6,11,11,13,0,0,3,1,0,32,0,13,1,0,3,0,1,1,2,332,0.2940655447298494
24,0,1,0,7,23,0,8,5,3,45,88,1,3,0,2,1,2,70,7,8,16,15,0,0,2,5,1,24,1,13,0,0,2,0,1,1,3,358,0.42771804062126645
25,0,0,1,3,32,1,17,9,9,96,74,0,4,0,1,5,0,95,5,17,32,28,0,0,7,9,6,70,6,35,10,2,1,1,0,2,5,584,0.48224607762180016
26,0,0,0,3,12,1,13,2,2,48,45,1,3,0,0,0,0,41,3,3,14,5,0,0,0,4,0,12,0,6,1,0,0,0,0,0,3,222,0.23617021276595745
27,0,0,0,5,15,2,2,1,7,51,86,0,1,0,0,0,0,40,7,3,4,9,1,0,1,0,2,15,0,5,1,0,0,0,0,0,3,262,0.2314487632508834
28,0,1,0,5,21,0,10,11,1,58,131,0,0,0,0,0,3,42,7,5,10,17,2,1,5,3,0,12,0,5,1,0,2,1,0,0,2,357,0.4214876033057851
29,1,0,0,7,43,1,15,10,1,104,150,0,2,0,0,0,1,39,4,9,5,14,0,1,3,4,0,12,1,7,0,0,0,0,0,0,2,436,0.5532994923857868
30,0,0,2,4,24,0,9,16,6,78,186,0,1,0,1,1,1,66,10,19,4,13,0,0,0,2,0,17,1,10,1,0,0,0,1,0,0,476,0.449480642115203
31,1,0,1,4,30,0,21,20,1,89,140,2,9,0,0,0,0,56,3,6,6,15,1,0,1,2,3,33,0,14,2,0,0,1,0,1,2,465,0.55622009569378
32,0,0,0,3,30,6,15,15,7,73,162,2,10,0,2,0,0,79,4,7,16,13,0,1,2,2,1,32,0,11,0,0,1,1,0,1,1,497,0.5171696149843913
33,0,0,0,6,39,1,10,15,10,78,151,1,4,1,0,1,2,80,3,11,15,13,0,0,3,4,2,29,0,14,1,0,0,1,0,0,0,495,0.5386289445048966
34,0,0,0,5,29,0,18,7,1,98,241,2,1,0,0,0,1,75,7,12,25,16,1,0,0,4,1,18,0,8,1,0,1,0,0,2,3,580,0.5736894164193868
35,1,0,0,4,37,0,13,11,7,105,168,7,2,0,1,0,0,67,4,12,19,18,1,0,3,0,2,26,0,16,3,0,4,0,0,0,4,535,0.5436991869918699
