SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
1,100,0.19047619047619047,83,1. CARLA CONSUELO FERMARIELLO (7) | 2. YURI TROMBETTI (5) | 3. ANDREA ALEMANNI (4) | 4. MAURIZIO VELOCCIA (4) | 5. DANIELE PARRUCCI (3) | 6. GIULIA TEMPESTA (2) | 7. RICCARDO CORBUCCI (2) | 8. SVETLANA CELLI (2) | 9. ELEONORA GRIMALDI (1) | 10. GIAMMARCO PALMIERI (1),17,1. GIOVANNI CAUDO (6) | 2. CLAUDIA PRATELLI (3) | 3. ANNA LODESERTO (1) | 4. FRANCESCA TOLINO (1) | 5. NICOLA CERABONA (1) | 6. PAOLO LECCESE (1) | 7. SIMONE SAPIENZA (1) | 8. VALERIO BONANNI (1) | 9. ALESSANDRA LATERZA (0) | 10. ALESSANDRA QUATTROCCHI (0),comune_2021
2,66,0.22837370242214533,53,1. SABRINA ALFONSI (5) | 2. GIULIA TEMPESTA (4) | 3. MAURIZIO VELOCCIA (4) | 4. MASSIMO DE SIMONI (2) | 5. YURI TROMBETTI (2) | 6. ANTONIO STAMPETE (1) | 7. DARIO MARCUCCI (1) | 8. NELLA CONVERTI (1) | 9. RICCARDO CORBUCCI (1) | 10. YIFAN LIN (1),13,1. GIOVANNI CAUDO (3) | 2. VALERIO BONANNI (2) | 3. CLAUDIA PRATELLI (1) | 4. MARTINA TESTA (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
3,67,0.2012012012012012,55,1. YIFAN LIN (9) | 2. ANDREA ALEMANNI (3) | 3. GIAMMARCO PALMIERI (3) | 4. MAURIZIO VELOCCIA (3) | 5. SABRINA ALFONSI (3) | 6. MARIANO ANGELUCCI (2) | 7. NELLA CONVERTI (2) | 8. SVETLANA CELLI (2) | 9. YURI TROMBETTI (2) | 10. ANTONIO STAMPETE (1),12,1. GIOVANNI CAUDO (5) | 2. ISABELLA BORRELLI (2) | 3. CLAUDIA PRATELLI (1) | 4. MARCO CARLIZZI (1) | 5. SUSANNA SPAFFORD (1) | 6. TIZIANA BIOLGHINI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELA PATTI (0),comune_2021
4,43,0.16475095785440613,34,1. MAURIZIO VELOCCIA (4) | 2. SABRINA ALFONSI (4) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. GIOVANNI CRISANTI (1) | 5. NELLA CONVERTI (1) | 6. STEFANO MARONGIU (1) | 7. ALESSANDRO LEPIDINI (0) | 8. ANDREA ALEMANNI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),9,1. GIOVANNI CAUDO (3) | 2. CLAUDIA PRATELLI (2) | 3. ANNA LODESERTO (1) | 4. PAOLO PARNASI (1) | 5. ROSSANA BASSI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
5,82,0.2210242587601078,67,1. GIORGIO RAFFAELE CALVI (10) | 2. SABRINA ALFONSI (10) | 3. MAURIZIO VELOCCIA (4) | 4. YURI TROMBETTI (3) | 5. ANTONELLA MELITO (2) | 6. ANTONIO CIANCIO (2) | 7. ANTONIO STAMPETE (2) | 8. FLAVIA RESTIVO (2) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CLAUDIA PAPPATA' (1),15,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
6,88,0.2521489971346705,70,1. SABRINA ALFONSI (7) | 2. ANTONIO CIANCIO (4) | 3. GIORGIO RAFFAELE CALVI (4) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. GIAMMARCO PALMIERI (3) | 6. MAURIZIO VELOCCIA (3) | 7. CLAUDIA PAPPATA' (2) | 8. YURI TROMBETTI (2) | 9. CRISTINA MICHETELLI (1) | 10. ERICA BATTAGLIA (1),18,1. GIOVANNI CAUDO (3) | 2. FRANCESCA TOLINO (2) | 3. SIMONE SAPIENZA (2) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
7,131,0.3133971291866029,99,1. SABRINA ALFONSI (22) | 2. MAURIZIO VELOCCIA (13) | 3. ANDREA ALEMANNI (8) | 4. FABRIZIO RUFO (4) | 5. GIAMMARCO PALMIERI (3) | 6. SVETLANA CELLI (3) | 7. UBALDO RIGHETTI (3) | 8. ANTONELLA MELITO (2) | 9. JULIAN COLABELLO (1) | 10. Lucia Lidia GUZMAN (1),32,1. GIOVANNI CAUDO (13) | 2. CLAUDIA PRATELLI (3) | 3. ROSSANA BASSI (3) | 4. ALESSANDRA LATERZA (2) | 5. MARTINA TESTA (2) | 6. ALESSANDRA QUATTROCCHI (1) | 7. DAVIDE GROSSI (1) | 8. FRANCESCA MARINA MORPURGO (1) | 9. LUCIANA BRUNO (1) | 10. SIMONE SAPIENZA (1),comune_2021
8,29,0.17791411042944785,25,1. SABRINA ALFONSI (6) | 2. MAURIZIO VELOCCIA (4) | 3. ANDREA ALEMANNI (3) | 4. SVETLANA CELLI (3) | 5. YIFAN LIN (1) | 6. ALESSANDRO LEPIDINI (0) | 7. ANTONELLA MELITO (0) | 8. ANTONIO CIANCIO (0) | 9. ANTONIO STAMPETE (0) | 10. CARLA CONSUELO FERMARIELLO (0),4,1. ALESSANDRA LATERZA (1) | 2. CLAUDIA PRATELLI (1) | 3. DANIELE MANCINI (1) | 4. GIOVANNI CAUDO (1) | 5. PAOLO LECCESE (1) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
9,85,0.2230971128608924,63,1. MARIANO ANGELUCCI (5) | 2. SABRINA ALFONSI (5) | 3. GIULIA TEMPESTA (4) | 4. YIFAN LIN (4) | 5. ANTONELLA MELITO (2) | 6. GIORGIO RAFFAELE CALVI (2) | 7. GIOVANNI CRISANTI (2) | 8. GIOVANNI ZANNOLA (2) | 9. OLIMPIA TROILI (2) | 10. RICCARDO CORBUCCI (2),22,1. GIOVANNI CAUDO (10) | 2. CLAUDIA PRATELLI (7) | 3. RICCARDO VALENTINI (3) | 4. MARCO TRIMALDI (2) | 5. ROSSANA BASSI (2) | 6. ISABELLA BORRELLI (1) | 7. SIMONE SAPIENZA (1) | 8. TIZIANA BIOLGHINI (1) | 9. ALESSANDRA LATERZA (0) | 10. ALESSANDRA QUATTROCCHI (0),comune_2021
10,88,0.2359249329758713,69,1. SABRINA ALFONSI (16) | 2. MAURIZIO VELOCCIA (7) | 3. YIFAN LIN (7) | 4. CARLA CONSUELO FERMARIELLO (5) | 5. GIULIA TEMPESTA (3) | 6. JULIAN COLABELLO (3) | 7. MARIANO ANGELUCCI (3) | 8. CLAUDIO PARAVATI (2) | 9. MONICA MORICONI (2) | 10. OLIMPIA TROILI (2),19,1. GIOVANNI CAUDO (12) | 2. CLAUDIA PRATELLI (3) | 3. DANIELA PATTI (3) | 4. MARTINA TESTA (3) | 5. RICCARDO VALENTINI (1) | 6. ROSSANA BASSI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELE MANCINI (0),comune_2021
11,128,0.2909090909090909,104,1. SABRINA ALFONSI (20) | 2. MAURIZIO VELOCCIA (10) | 3. ANTONIO CIANCIO (5) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. EDMOND GODO (3) | 6. FABRIZIO RUFO (3) | 7. YIFAN LIN (3) | 8. ERICA BATTAGLIA (2) | 9. GIOVANNI ZANNOLA (2) | 10. LORENZO MARINONE (2),24,1. GIOVANNI CAUDO (11) | 2. CLAUDIA PRATELLI (8) | 3. MARIA ASSUNTA VITELLI (2) | 4. VALERIO BONANNI (2) | 5. MARCO CARLIZZI (1) | 6. SIMONE SAPIENZA (1) | 7. TIZIANA BIOLGHINI (1) | 8. ALESSANDRA LATERZA (0) | 9. ALESSANDRA QUATTROCCHI (0) | 10. ANNA LODESERTO (0),comune_2021
