SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
1,119,0.21915285451197053,95,1. LUIGI MAIO (4) | 2. FILIPPO MARIA LAGUZZI (3) | 3. GABRIELE MICHELI (3) | 4. FEDERICA RAMPINI (2) | 5. FRANCESCO MANCINO (2) | 6. ITALO DELLA BELLA (2) | 7. SIMONA RUSSO (2) | 8. CESARE ALFIDI (1) | 9. LORENZO SPIZZICHINO (1) | 10. MARIA TERESA ELLUL (1),24,1. CHRISTIAN RAIMO (2) | 2. STEFANO SAMPAOLO (2) | 3. ALESSANDRO TADDEI (1) | 4. ANNA LODESERTO (1) | 5. GIOVANNI RUOCCO (1) | 6. GIULIA FERRARA (1) | 7. ISABELLA BOARI (1) | 8. MARIA CONCETTA ROMANO (1) | 9. MARIA LUCIA CERABONA (1) | 10. MATTEO ZOCCHI (1),municipio3_2021
25,130,0.22336769759450173,107,1. FEDERICA RAMPINI (17) | 2. FILIPPO MARIA LAGUZZI (9) | 3. MARIA ANTONIETTA DEL MORO (3) | 4. MONICA MAGGI (3) | 5. NASTASSJA HABDANK (3) | 6. ROBERTO CASAMENTO (3) | 7. ANTONIO COMITO (2) | 8. FRANCESCO MANCINO (2) | 9. GABRIELE MICHELI (2) | 10. NICOLETTA FUNGHI (2),23,1. CHRISTIAN RAIMO (7) | 2. STEFANO SAMPAOLO (5) | 3. MARIA ANTONIETTA DE VICO (2) | 4. ENRICA LEO (1) | 5. GIULIA FERRARA (1) | 6. ISABELLA BOARI (1) | 7. MARIA CONCETTA ROMANO (1) | 8. SERGIO ORSINI (1) | 9. ALESSANDRO TADDEI (0) | 10. ANNA LODESERTO (0),municipio3_2021
37,107,0.23311546840958605,82,1. FEDERICA RAMPINI (4) | 2. SIMONA RUSSO (3) | 3. LUIGI MAIO (2) | 4. MATTEO PIETROSANTE (2) | 5. NASTASSJA HABDANK (2) | 6. SIMONA SORTINO (2) | 7. ANTONIO COMITO (1) | 8. CESARE ALFIDI (1) | 9. FILIPPO MARIA LAGUZZI (1) | 10. GABRIELE MICHELI (1),25,1. STEFANO SAMPAOLO (6) | 2. CHRISTIAN RAIMO (4) | 3. MARIA CONCETTA ROMANO (4) | 4. SILVIA LAZZARI (3) | 5. MATTEO ZOCCHI (2) | 6. ANNA LODESERTO (1) | 7. FRANCESCA FARCHI (1) | 8. GIOVANNI RUOCCO (1) | 9. VALERIO BONANNI (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
67,95,0.2159090909090909,67,1. ITALO DELLA BELLA (9) | 2. MATTEO PIETROSANTE (4) | 3. NASTASSJA HABDANK (4) | 4. SIMONA SORTINO (4) | 5. ANTONIO COMITO (3) | 6. FEDERICA RAMPINI (3) | 7. LORENZO SPIZZICHINO (2) | 8. MARIA ANTONIETTA DEL MORO (2) | 9. CESARE ALFIDI (1) | 10. LUIGI MAIO (1),28,1. MATTEO ZOCCHI (16) | 2. FRANCESCA FARCHI (2) | 3. ANTONIO FABRIZI (1) | 4. MARIA LUCIA CERABONA (1) | 5. SILVIA LAZZARI (1) | 6. ALESSANDRO TADDEI (0) | 7. ANNA LODESERTO (0) | 8. CHIARA CALLINI (0) | 9. CHIARA CENTAMORI (0) | 10. CHRISTIAN RAIMO (0),municipio3_2021
68,124,0.26609442060085836,78,1. MATTEO PIETROSANTE (6) | 2. ANTONIO COMITO (2) | 3. NASTASSJA HABDANK (2) | 4. PAOLA CAVALIERI (2) | 5. CESARE ALFIDI (1) | 6. FILIPPO MARIA LAGUZZI (1) | 7. FRANCESCO MANCINO (1) | 8. LORENZO SPIZZICHINO (1) | 9. SILVIA DE ROSA (1) | 10. SIMONA SORTINO (1),46,1. MATTEO ZOCCHI (26) | 2. CHRISTIAN RAIMO (6) | 3. MARIA CONCETTA ROMANO (4) | 4. CHIARA CENTAMORI (2) | 5. MARIA LUCIA CERABONA (2) | 6. VALERIO BONANNI (2) | 7. ANNA LODESERTO (1) | 8. FRANCESCA FARCHI (1) | 9. ORNELLA PUNZO (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
69,143,0.28888888888888886,87,1. NASTASSJA HABDANK (7) | 2. MATTEO PIETROSANTE (6) | 3. FEDERICA RAMPINI (5) | 4. PAOLA CAVALIERI (5) | 5. FILIPPO MARIA LAGUZZI (4) | 6. LORENZO SPIZZICHINO (4) | 7. MARIA TERESA ELLUL (3) | 8. SIMONA SORTINO (3) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. SILVIA DE ROSA (2),56,1. MATTEO ZOCCHI (36) | 2. MARIA CONCETTA ROMANO (5) | 3. ROSA FERRETTI (3) | 4. CHRISTIAN RAIMO (2) | 5. ISABELLA BOARI (2) | 6. ANNA LODESERTO (1) | 7. ENRICA LEO (1) | 8. GIOVANNI RUOCCO (1) | 9. GIULIA FERRARA (1) | 10. MARIA LUCIA CERABONA (1),municipio3_2021
70,108,0.2529274004683841,70,1. MATTEO PIETROSANTE (6) | 2. NASTASSJA HABDANK (6) | 3. FRANCESCO MANCINO (2) | 4. GABRIELE MICHELI (2) | 5. CESARE ALFIDI (1) | 6. LORENZO SPIZZICHINO (1) | 7. ANTONIO COMITO (0) | 8. FEDERICA RAMPINI (0) | 9. FILIPPO MARIA LAGUZZI (0) | 10. GABRIELE CARRADORI (0),38,1. MATTEO ZOCCHI (12) | 2. CHRISTIAN RAIMO (4) | 3. MARIA CONCETTA ROMANO (4) | 4. GIOVANNI RUOCCO (2) | 5. MARTINA TESTA (2) | 6. SILVIA LAZZARI (2) | 7. CHIARA CENTAMORI (1) | 8. GIULIA FERRARA (1) | 9. MARIA LUCIA CERABONA (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
71,133,0.289760348583878,81,1. FEDERICA RAMPINI (4) | 2. MATTEO PIETROSANTE (4) | 3. NASTASSJA HABDANK (3) | 4. LORENZO SPIZZICHINO (2) | 5. LUIGI MAIO (2) | 6. MARIA ANTONIETTA DEL MORO (2) | 7. MIRKO MANFRE' (2) | 8. PAOLA CAVALIERI (2) | 9. FILIPPO MARIA LAGUZZI (1) | 10. ROBERTO CASAMENTO (1),52,1. MATTEO ZOCCHI (28) | 2. MARIA LUCIA CERABONA (4) | 3. MARIA CONCETTA ROMANO (3) | 4. ORNELLA PUNZO (2) | 5. STEFANO SAMPAOLO (2) | 6. ANTONIO FABRIZI (1) | 7. CHIARA CENTAMORI (1) | 8. CHRISTIAN RAIMO (1) | 9. FRANCESCA FARCHI (1) | 10. VALERIO BONANNI (1),municipio3_2021
72,120,0.2777777777777778,79,1. MATTEO PIETROSANTE (7) | 2. NICOLETTA FUNGHI (4) | 3. GABRIELE CARRADORI (3) | 4. LUIGI MAIO (3) | 5. MONICA MAGGI (3) | 6. SIMONA SORTINO (3) | 7. MARIA ANTONIETTA DEL MORO (2) | 8. NASTASSJA HABDANK (2) | 9. CESARE ALFIDI (1) | 10. FEDERICA RAMPINI (1),41,1. MATTEO ZOCCHI (12) | 2. CHRISTIAN RAIMO (6) | 3. ISABELLA BOARI (4) | 4. MARTINA TESTA (3) | 5. STEFANO SAMPAOLO (2) | 6. ANNA LODESERTO (1) | 7. ANTONIO FABRIZI (1) | 8. GIULIA FERRARA (1) | 9. MARIA CONCETTA ROMANO (1) | 10. ORNELLA PUNZO (1),municipio3_2021
73,232,0.3993115318416523,163,1. SIMONA SORTINO (32) | 2. MATTEO PIETROSANTE (24) | 3. NASTASSJA HABDANK (12) | 4. LORENZO SPIZZICHINO (7) | 5. FILIPPO MARIA LAGUZZI (4) | 6. PAOLA CAVALIERI (4) | 7. FEDERICA RAMPINI (3) | 8. MARIA TERESA ELLUL (3) | 9. CESARE ALFIDI (2) | 10. GABRIELE MICHELI (2),69,1. CHRISTIAN RAIMO (26) | 2. MATTEO ZOCCHI (13) | 3. MARTINA TESTA (10) | 4. STEFANO SAMPAOLO (7) | 5. MARIA CONCETTA ROMANO (5) | 6. CHIARA CENTAMORI (3) | 7. GIOVANNI RUOCCO (2) | 8. ORNELLA PUNZO (2) | 9. ANNA LODESERTO (1) | 10. ANTONIO FABRIZI (1),municipio3_2021
74,165,0.3707865168539326,93,1. SIMONA SORTINO (15) | 2. MATTEO PIETROSANTE (6) | 3. FEDERICA RAMPINI (5) | 4. FILIPPO MARIA LAGUZZI (5) | 5. ANTONIO COMITO (4) | 6. LORENZO SPIZZICHINO (4) | 7. NASTASSJA HABDANK (4) | 8. PAOLA CAVALIERI (3) | 9. CESARE ALFIDI (2) | 10. MARIA ANTONIETTA DEL MORO (1),72,1. CHRISTIAN RAIMO (25) | 2. MATTEO ZOCCHI (15) | 3. MARIA CONCETTA ROMANO (11) | 4. MARTINA TESTA (7) | 5. ANNA LODESERTO (5) | 6. FRANCESCA FARCHI (3) | 7. MARIA CRISTINA PANI (2) | 8. GIOVANNI RUOCCO (1) | 9. STEFANO SAMPAOLO (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
