SEZIONE,is_municipio_3,pd_2021_votes,total_votes_2021,pd_2021_share,pd_2016_votes,total_votes_2016,pd_2016_share,delta_pd_share,top_pd_2021,top_pd_2016
1,True,83,525,0.1580952380952381,90,514,0.17509727626459143,-1.7002038169353333,CARLA CONSUELO FERMARIELLO: 7 | YURI TROMBETTI: 5 | ANDREA ALEMANNI: 4 | MAURIZIO VELOCCIA: 4 | DANIELE PARRUCCI: 3,ANDREA CASU: 4 | ANTONGIULIO PELONZI: 2 | MARCO PALUMBO: 2 | MICHELA DI BIASE: 2 | RICCARDO CORBUCCI: 2
2,False,53,289,0.18339100346020762,50,351,0.14245014245014245,4.094086101006517,SABRINA ALFONSI: 5 | GIULIA TEMPESTA: 4 | MAURIZIO VELOCCIA: 4 | MASSIMO DE SIMONI: 2 | YURI TROMBETTI: 2,MICHELA DI BIASE: 2 | PIERA LEVI MONTALCINI: 2 | PIERO PETRINI: 2 | ANDREA CASU: 1 | ANNA PAOLA CONCIA: 1
3,False,55,333,0.16516516516516516,75,421,0.17814726840855108,-1.2982103243385916,YIFAN LIN: 9 | ANDREA ALEMANNI: 3 | GIAMMARCO PALMIERI: 3 | MAURIZIO VELOCCIA: 3 | SABRINA ALFONSI: 3,ANDREA CASU: 5 | ANNA PAOLA CONCIA: 4 | CARLA CONSUELO FERMARIELLO: 3 | CRISTIANO DAVOLI: 1 | ERICA BATTAGLIA: 1
4,False,34,261,0.13026819923371646,42,258,0.16279069767441862,-3.2522498440702154,MAURIZIO VELOCCIA: 4 | SABRINA ALFONSI: 4 | CARLA CONSUELO FERMARIELLO: 2 | GIOVANNI CRISANTI: 1 | NELLA CONVERTI: 1,ANDREA CASU: 2 | PIERA LEVI MONTALCINI: 2 | ANTONGIULIO PELONZI: 1 | CRISTIANO DAVOLI: 1 | ELENA PATRIZIA IMPROTA: 1
5,False,67,371,0.18059299191374664,66,367,0.17983651226158037,0.07564796521662698,GIORGIO RAFFAELE CALVI: 10 | SABRINA ALFONSI: 10 | MAURIZIO VELOCCIA: 4 | YURI TROMBETTI: 3 | ANTONELLA MELITO: 2,ANDREA CASU: 4 | ANNA PAOLA CONCIA: 2 | ERICA BATTAGLIA: 2 | MICHELA DI BIASE: 2 | PIERA LEVI MONTALCINI: 2
6,False,70,349,0.20057306590257878,82,346,0.23699421965317918,-3.64211537506004,SABRINA ALFONSI: 7 | ANTONIO CIANCIO: 4 | GIORGIO RAFFAELE CALVI: 4 | CARLA CONSUELO FERMARIELLO: 3 | GIAMMARCO PALMIERI: 3,CARLA CONSUELO FERMARIELLO: 3 | ESTELLA MARINO: 3 | ANDREA CASU: 2 | ELISABETTA GIUSTINI: 2 | ORLANDO CORSETTI: 2
7,False,99,418,0.23684210526315788,96,375,0.256,-1.9157894736842125,SABRINA ALFONSI: 22 | MAURIZIO VELOCCIA: 13 | ANDREA ALEMANNI: 8 | FABRIZIO RUFO: 4 | GIAMMARCO PALMIERI: 3,MICHELA DI BIASE: 13 | CARLA CONSUELO FERMARIELLO: 6 | ANDREA CASU: 5 | ANTONGIULIO PELONZI: 5 | ANNA PAOLA CONCIA: 3
8,False,25,163,0.15337423312883436,41,262,0.15648854961832062,-0.3114316489486263,SABRINA ALFONSI: 6 | MAURIZIO VELOCCIA: 4 | ANDREA ALEMANNI: 3 | SVETLANA CELLI: 3 | YIFAN LIN: 1,ANDREA CASU: 3 | CARLA CONSUELO FERMARIELLO: 3 | FABIO POMPEI: 3 | ESTELLA MARINO: 2 | ORLANDO CORSETTI: 2
9,False,63,381,0.16535433070866143,74,300,0.24666666666666667,-8.131233595800524,MARIANO ANGELUCCI: 5 | SABRINA ALFONSI: 5 | GIULIA TEMPESTA: 4 | YIFAN LIN: 4 | ANTONELLA MELITO: 2,CARLA CONSUELO FERMARIELLO: 4 | FABIO POMPEI: 3 | GIUSEPPE CAVALLO: 3 | ADRIANO COSTANTINO: 2 | ANDREA CASU: 2
10,False,69,373,0.18498659517426275,69,382,0.1806282722513089,0.435832292295385,SABRINA ALFONSI: 16 | MAURIZIO VELOCCIA: 7 | YIFAN LIN: 7 | CARLA CONSUELO FERMARIELLO: 5 | GIULIA TEMPESTA: 3,ANDREA CASU: 5 | CARLA CONSUELO FERMARIELLO: 5 | ANNA PAOLA CONCIA: 3 | MICHELA DI BIASE: 2 | VALERIA BAGLIO: 2
11,False,104,440,0.23636363636363636,104,478,0.2175732217573222,1.879041460631417,SABRINA ALFONSI: 20 | MAURIZIO VELOCCIA: 10 | ANTONIO CIANCIO: 5 | CARLA CONSUELO FERMARIELLO: 3 | EDMOND GODO: 3,ANDREA CASU: 8 | CARLA CONSUELO FERMARIELLO: 6 | GIULIA TEMPESTA: 5 | GIULIO BUGARINI: 5 | ESTELLA MARINO: 4
