SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
1,83,0.1580952380952381,1. CARLA CONSUELO FERMARIELLO (7) | 2. YURI TROMBETTI (5) | 3. ANDREA ALEMANNI (4) | 4. MAURIZIO VELOCCIA (4) | 5. DANIELE PARRUCCI (3) | 6. GIULIA TEMPESTA (2) | 7. RICCARDO CORBUCCI (2) | 8. SVETLANA CELLI (2) | 9. ELEONORA GRIMALDI (1) | 10. GIAMMARCO PALMIERI (1),comune_2021
2,53,0.18339100346020762,1. SABRINA ALFONSI (5) | 2. GIULIA TEMPESTA (4) | 3. MAURIZIO VELOCCIA (4) | 4. MASSIMO DE SIMONI (2) | 5. YURI TROMBETTI (2) | 6. ANTONIO STAMPETE (1) | 7. DARIO MARCUCCI (1) | 8. NELLA CONVERTI (1) | 9. RICCARDO CORBUCCI (1) | 10. YIFAN LIN (1),comune_2021
3,55,0.16516516516516516,1. YIFAN LIN (9) | 2. ANDREA ALEMANNI (3) | 3. GIAMMARCO PALMIERI (3) | 4. MAURIZIO VELOCCIA (3) | 5. SABRINA ALFONSI (3) | 6. MARIANO ANGELUCCI (2) | 7. NELLA CONVERTI (2) | 8. SVETLANA CELLI (2) | 9. YURI TROMBETTI (2) | 10. ANTONIO STAMPETE (1),comune_2021
4,34,0.13026819923371646,1. MAURIZIO VELOCCIA (4) | 2. SABRINA ALFONSI (4) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. GIOVANNI CRISANTI (1) | 5. NELLA CONVERTI (1) | 6. STEFANO MARONGIU (1) | 7. ALESSANDRO LEPIDINI (0) | 8. ANDREA ALEMANNI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),comune_2021
5,67,0.18059299191374664,1. GIORGIO RAFFAELE CALVI (10) | 2. SABRINA ALFONSI (10) | 3. MAURIZIO VELOCCIA (4) | 4. YURI TROMBETTI (3) | 5. ANTONELLA MELITO (2) | 6. ANTONIO CIANCIO (2) | 7. ANTONIO STAMPETE (2) | 8. FLAVIA RESTIVO (2) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CLAUDIA PAPPATA' (1),comune_2021
6,70,0.20057306590257878,1. SABRINA ALFONSI (7) | 2. ANTONIO CIANCIO (4) | 3. GIORGIO RAFFAELE CALVI (4) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. GIAMMARCO PALMIERI (3) | 6. MAURIZIO VELOCCIA (3) | 7. CLAUDIA PAPPATA' (2) | 8. YURI TROMBETTI (2) | 9. CRISTINA MICHETELLI (1) | 10. ERICA BATTAGLIA (1),comune_2021
7,99,0.23684210526315788,1. SABRINA ALFONSI (22) | 2. MAURIZIO VELOCCIA (13) | 3. ANDREA ALEMANNI (8) | 4. FABRIZIO RUFO (4) | 5. GIAMMARCO PALMIERI (3) | 6. SVETLANA CELLI (3) | 7. UBALDO RIGHETTI (3) | 8. ANTONELLA MELITO (2) | 9. JULIAN COLABELLO (1) | 10. Lucia Lidia GUZMAN (1),comune_2021
8,25,0.15337423312883436,1. SABRINA ALFONSI (6) | 2. MAURIZIO VELOCCIA (4) | 3. ANDREA ALEMANNI (3) | 4. SVETLANA CELLI (3) | 5. YIFAN LIN (1) | 6. ALESSANDRO LEPIDINI (0) | 7. ANTONELLA MELITO (0) | 8. ANTONIO CIANCIO (0) | 9. ANTONIO STAMPETE (0) | 10. CARLA CONSUELO FERMARIELLO (0),comune_2021
9,63,0.16535433070866143,1. MARIANO ANGELUCCI (5) | 2. SABRINA ALFONSI (5) | 3. GIULIA TEMPESTA (4) | 4. YIFAN LIN (4) | 5. ANTONELLA MELITO (2) | 6. GIORGIO RAFFAELE CALVI (2) | 7. GIOVANNI CRISANTI (2) | 8. GIOVANNI ZANNOLA (2) | 9. OLIMPIA TROILI (2) | 10. RICCARDO CORBUCCI (2),comune_2021
10,69,0.18498659517426275,1. SABRINA ALFONSI (16) | 2. MAURIZIO VELOCCIA (7) | 3. YIFAN LIN (7) | 4. CARLA CONSUELO FERMARIELLO (5) | 5. GIULIA TEMPESTA (3) | 6. JULIAN COLABELLO (3) | 7. MARIANO ANGELUCCI (3) | 8. CLAUDIO PARAVATI (2) | 9. MONICA MORICONI (2) | 10. OLIMPIA TROILI (2),comune_2021
11,104,0.23636363636363636,1. SABRINA ALFONSI (20) | 2. MAURIZIO VELOCCIA (10) | 3. ANTONIO CIANCIO (5) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. EDMOND GODO (3) | 6. FABRIZIO RUFO (3) | 7. YIFAN LIN (3) | 8. ERICA BATTAGLIA (2) | 9. GIOVANNI ZANNOLA (2) | 10. LORENZO MARINONE (2),comune_2021
12,62,0.18618618618618618,1. SABRINA ALFONSI (12) | 2. MAURIZIO VELOCCIA (6) | 3. FABRIZIO RUFO (4) | 4. MASSIMO DE SIMONI (4) | 5. CARLA CONSUELO FERMARIELLO (3) | 6. ANTONELLA MELITO (2) | 7. ANDREA ALEMANNI (1) | 8. FLAVIA RESTIVO (1) | 9. GIAMMARCO PALMIERI (1) | 10. JULIAN COLABELLO (1),comune_2021
13,69,0.16911764705882354,1. SABRINA ALFONSI (14) | 2. MAURIZIO VELOCCIA (10) | 3. ANDREA ALEMANNI (2) | 4. ANTONIO STAMPETE (2) | 5. CARLA CONSUELO FERMARIELLO (2) | 6. CLAUDIA PAPPATA' (2) | 7. YIFAN LIN (2) | 8. ANTONIO CIANCIO (1) | 9. GIAMMARCO PALMIERI (1) | 10. ILARIA PICCOLO (1),comune_2021
14,124,0.21754385964912282,1. SABRINA ALFONSI (35) | 2. MAURIZIO VELOCCIA (26) | 3. FABRIZIO RUFO (4) | 4. MARIANO ANGELUCCI (3) | 5. CARLA CONSUELO FERMARIELLO (2) | 6. CLAUDIA PAPPATA' (2) | 7. CRISTINA MICHETELLI (2) | 8. JULIAN COLABELLO (2) | 9. LORENZO MARINONE (2) | 10. UBALDO RIGHETTI (2),comune_2021
15,73,0.1738095238095238,1. SABRINA ALFONSI (26) | 2. MAURIZIO VELOCCIA (16) | 3. ANTONIO CIANCIO (3) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. ANDREA ALEMANNI (2) | 6. DARIO MARCUCCI (2) | 7. GIAMMARCO PALMIERI (2) | 8. GIOVANNI CRISANTI (2) | 9. MARIANO ANGELUCCI (2) | 10. MASSIMO DE SIMONI (2),comune_2021
16,64,0.16976127320954906,1. SABRINA ALFONSI (8) | 2. MAURIZIO VELOCCIA (4) | 3. ELEONORA GRIMALDI (3) | 4. CARLA CONSUELO FERMARIELLO (2) | 5. RICCARDO CORBUCCI (2) | 6. UBALDO RIGHETTI (2) | 7. VALERIA BAGLIO (2) | 8. ANTONIO CIANCIO (1) | 9. DARIO MARCUCCI (1) | 10. GIAMMARCO PALMIERI (1),comune_2021
