SEZIONE,is_municipio_3,pd_2021_votes,total_votes_2021,pd_2021_share,pd_2016_votes,total_votes_2016,pd_2016_share,delta_pd_share,top_pd_2021,top_pd_2016
1,True,83,525,0.1580952380952381,90,514,0.17509727626459143,-1.7002038169353333,CARLA CONSUELO FERMARIELLO: 7 | YURI TROMBETTI: 5 | ANDREA ALEMANNI: 4 | MAURIZIO VELOCCIA: 4 | DANIELE PARRUCCI: 3,ANDREA CASU: 4 | ANTONGIULIO PELONZI: 2 | MARCO PALUMBO: 2 | MICHELA DI BIASE: 2 | RICCARDO CORBUCCI: 2
25,True,96,584,0.1643835616438356,85,384,0.22135416666666666,-5.697060502283105,RICCARDO CORBUCCI: 14 | GIULIA TEMPESTA: 12 | ANDREA ALEMANNI: 2 | EDMOND GODO: 2 | GIOVANNI ZANNOLA: 2,ILARIA PICCOLO: 11 | RICCARDO CORBUCCI: 10 | MARCO PALUMBO: 6 | ESTELLA MARINO: 4 | ELENA PATRIZIA IMPROTA: 3
37,True,83,484,0.17148760330578514,95,511,0.18590998043052837,-1.442237712474323,ANDREA ALEMANNI: 8 | GIULIA TEMPESTA: 4 | NELLA CONVERTI: 4 | RICCARDO CORBUCCI: 4 | STEFANO MARONGIU: 3,RICCARDO CORBUCCI: 10 | MARCO PALUMBO: 8 | ILARIA PICCOLO: 5 | MICHELA DI BIASE: 5 | GIULIA TEMPESTA: 4
67,True,68,427,0.1592505854800937,93,490,0.18979591836734694,-3.054533288725325,MARIANO ANGELUCCI: 3 | OLIMPIA TROILI: 3 | ERICA BATTAGLIA: 2 | GIOVANNI CRISANTI: 2 | MAURIZIO VELOCCIA: 2,ILARIA PICCOLO: 9 | MARCO PALUMBO: 9 | GIULIO BUGARINI: 3 | ORLANDO CORSETTI: 3 | ANTONGIULIO PELONZI: 2
68,True,71,454,0.15638766519823788,75,507,0.14792899408284024,0.8458671115397637,ERICA BATTAGLIA: 3 | STEFANO MARONGIU: 3 | GIAMMARCO PALMIERI: 2 | GIULIA TEMPESTA: 2 | ANTONELLA MELITO: 1,MARCO PALUMBO: 4 | GIULIO BUGARINI: 3 | ILARIA PICCOLO: 3 | ANTONGIULIO PELONZI: 2 | GIULIA TEMPESTA: 2
69,True,70,503,0.13916500994035785,103,536,0.1921641791044776,-5.299916916411976,MAURIZIO VELOCCIA: 5 | RICCARDO CORBUCCI: 4 | CARLA CONSUELO FERMARIELLO: 3 | FABRIZIO RUFO: 3 | SABRINA ALFONSI: 3,MARCO PALUMBO: 8 | ILARIA PICCOLO: 7 | RICCARDO CORBUCCI: 3 | ERICA BATTAGLIA: 2 | FABIO POMPEI: 2
70,True,69,411,0.1678832116788321,68,410,0.16585365853658537,0.20295531422467317,MAURIZIO VELOCCIA: 6 | YURI TROMBETTI: 4 | CARLA CONSUELO FERMARIELLO: 2 | CRISTINA MICHETELLI: 2 | DARIO MARCUCCI: 2,RICCARDO CORBUCCI: 5 | PIERA LEVI MONTALCINI: 4 | ALESSANDRO COZZA: 2 | MARCO PALUMBO: 2 | ANNA PAOLA CONCIA: 1
71,True,80,455,0.17582417582417584,87,550,0.15818181818181817,1.7642357642357664,SABRINA ALFONSI: 8 | RICCARDO CORBUCCI: 5 | CARLA CONSUELO FERMARIELLO: 3 | GIULIA TEMPESTA: 3 | MARIANO ANGELUCCI: 3,ILARIA PICCOLO: 10 | MARCO PALUMBO: 10 | ELENA PATRIZIA IMPROTA: 3 | GIOVANNI ZANNOLA: 3 | GABRIELLA PESA: 2
72,True,68,438,0.1552511415525114,83,507,0.16370808678500987,-0.8456945232498458,GIULIA TEMPESTA: 5 | MAURIZIO VELOCCIA: 5 | GIOVANNI CRISANTI: 4 | EDMOND GODO: 3 | ERICA BATTAGLIA: 3,CRISTIANO DAVOLI: 4 | MARCO PALUMBO: 4 | ALESSANDRO COZZA: 3 | ILARIA PICCOLO: 3 | VALENTINA URBINI: 3
73,True,126,585,0.2153846153846154,173,630,0.2746031746031746,-5.921855921855923,RICCARDO CORBUCCI: 12 | ERICA BATTAGLIA: 6 | CLAUDIA PAPPATA': 5 | ILARIA PICCOLO: 4 | DANIELE PARRUCCI: 3,ORLANDO CORSETTI: 15 | MARCO PALUMBO: 13 | ILARIA PICCOLO: 12 | VALERIA BAGLIO: 7 | ALESSANDRO COZZA: 3
74,True,86,441,0.19501133786848074,107,467,0.2291220556745182,-3.411071780603747,SABRINA ALFONSI: 7 | CARLA CONSUELO FERMARIELLO: 5 | GIULIA TEMPESTA: 4 | LORENZO MARINONE: 4 | MAURIZIO VELOCCIA: 4,ILARIA PICCOLO: 13 | CARLA CONSUELO FERMARIELLO: 9 | RICCARDO CORBUCCI: 9 | MARCO PALUMBO: 8 | ANDREA CASU: 4
