SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
1,95,0.17495395948434622,1. LUIGI MAIO (4) | 2. FILIPPO MARIA LAGUZZI (3) | 3. GABRIELE MICHELI (3) | 4. FEDERICA RAMPINI (2) | 5. FRANCESCO MANCINO (2) | 6. ITALO DELLA BELLA (2) | 7. SIMONA RUSSO (2) | 8. CESARE ALFIDI (1) | 9. LORENZO SPIZZICHINO (1) | 10. MARIA TERESA ELLUL (1),municipio3_2021
25,107,0.18384879725085912,1. FEDERICA RAMPINI (17) | 2. FILIPPO MARIA LAGUZZI (9) | 3. MARIA ANTONIETTA DEL MORO (3) | 4. MONICA MAGGI (3) | 5. NASTASSJA HABDANK (3) | 6. ROBERTO CASAMENTO (3) | 7. ANTONIO COMITO (2) | 8. FRANCESCO MANCINO (2) | 9. GABRIELE MICHELI (2) | 10. NICOLETTA FUNGHI (2),municipio3_2021
37,82,0.1786492374727669,1. FEDERICA RAMPINI (4) | 2. SIMONA RUSSO (3) | 3. LUIGI MAIO (2) | 4. MATTEO PIETROSANTE (2) | 5. NASTASSJA HABDANK (2) | 6. SIMONA SORTINO (2) | 7. ANTONIO COMITO (1) | 8. CESARE ALFIDI (1) | 9. FILIPPO MARIA LAGUZZI (1) | 10. GABRIELE MICHELI (1),municipio3_2021
67,67,0.15227272727272728,1. ITALO DELLA BELLA (9) | 2. MATTEO PIETROSANTE (4) | 3. NASTASSJA HABDANK (4) | 4. SIMONA SORTINO (4) | 5. ANTONIO COMITO (3) | 6. FEDERICA RAMPINI (3) | 7. LORENZO SPIZZICHINO (2) | 8. MARIA ANTONIETTA DEL MORO (2) | 9. CESARE ALFIDI (1) | 10. LUIGI MAIO (1),municipio3_2021
68,78,0.16738197424892703,1. MATTEO PIETROSANTE (6) | 2. ANTONIO COMITO (2) | 3. NASTASSJA HABDANK (2) | 4. PAOLA CAVALIERI (2) | 5. CESARE ALFIDI (1) | 6. FILIPPO MARIA LAGUZZI (1) | 7. FRANCESCO MANCINO (1) | 8. LORENZO SPIZZICHINO (1) | 9. SILVIA DE ROSA (1) | 10. SIMONA SORTINO (1),municipio3_2021
69,87,0.17575757575757575,1. NASTASSJA HABDANK (7) | 2. MATTEO PIETROSANTE (6) | 3. FEDERICA RAMPINI (5) | 4. PAOLA CAVALIERI (5) | 5. FILIPPO MARIA LAGUZZI (4) | 6. LORENZO SPIZZICHINO (4) | 7. MARIA TERESA ELLUL (3) | 8. SIMONA SORTINO (3) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. SILVIA DE ROSA (2),municipio3_2021
70,70,0.16393442622950818,1. MATTEO PIETROSANTE (6) | 2. NASTASSJA HABDANK (6) | 3. FRANCESCO MANCINO (2) | 4. GABRIELE MICHELI (2) | 5. CESARE ALFIDI (1) | 6. LORENZO SPIZZICHINO (1) | 7. ANTONIO COMITO (0) | 8. FEDERICA RAMPINI (0) | 9. FILIPPO MARIA LAGUZZI (0) | 10. GABRIELE CARRADORI (0),municipio3_2021
71,81,0.17647058823529413,1. FEDERICA RAMPINI (4) | 2. MATTEO PIETROSANTE (4) | 3. NASTASSJA HABDANK (3) | 4. LORENZO SPIZZICHINO (2) | 5. LUIGI MAIO (2) | 6. MARIA ANTONIETTA DEL MORO (2) | 7. MIRKO MANFRE' (2) | 8. PAOLA CAVALIERI (2) | 9. FILIPPO MARIA LAGUZZI (1) | 10. ROBERTO CASAMENTO (1),municipio3_2021
72,79,0.18287037037037038,1. MATTEO PIETROSANTE (7) | 2. NICOLETTA FUNGHI (4) | 3. GABRIELE CARRADORI (3) | 4. LUIGI MAIO (3) | 5. MONICA MAGGI (3) | 6. SIMONA SORTINO (3) | 7. MARIA ANTONIETTA DEL MORO (2) | 8. NASTASSJA HABDANK (2) | 9. CESARE ALFIDI (1) | 10. FEDERICA RAMPINI (1),municipio3_2021
73,163,0.28055077452667815,1. SIMONA SORTINO (32) | 2. MATTEO PIETROSANTE (24) | 3. NASTASSJA HABDANK (12) | 4. LORENZO SPIZZICHINO (7) | 5. FILIPPO MARIA LAGUZZI (4) | 6. PAOLA CAVALIERI (4) | 7. FEDERICA RAMPINI (3) | 8. MARIA TERESA ELLUL (3) | 9. CESARE ALFIDI (2) | 10. GABRIELE MICHELI (2),municipio3_2021
74,93,0.20898876404494382,1. SIMONA SORTINO (15) | 2. MATTEO PIETROSANTE (6) | 3. FEDERICA RAMPINI (5) | 4. FILIPPO MARIA LAGUZZI (5) | 5. ANTONIO COMITO (4) | 6. LORENZO SPIZZICHINO (4) | 7. NASTASSJA HABDANK (4) | 8. PAOLA CAVALIERI (3) | 9. CESARE ALFIDI (2) | 10. MARIA ANTONIETTA DEL MORO (1),municipio3_2021
75,138,0.2598870056497175,1. SIMONA SORTINO (59) | 2. MATTEO PIETROSANTE (8) | 3. FILIPPO MARIA LAGUZZI (7) | 4. NASTASSJA HABDANK (6) | 5. CESARE ALFIDI (3) | 6. FEDERICA RAMPINI (3) | 7. ROBERTO CASAMENTO (3) | 8. ANTONIO COMITO (2) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. MARIA TERESA ELLUL (2),municipio3_2021
76,105,0.2125506072874494,1. SIMONA SORTINO (16) | 2. MATTEO PIETROSANTE (8) | 3. NASTASSJA HABDANK (7) | 4. FEDERICA RAMPINI (3) | 5. FILIPPO MARIA LAGUZZI (3) | 6. LUIGI MAIO (3) | 7. CESARE ALFIDI (1) | 8. FRANCESCO MANCINO (1) | 9. ITALO DELLA BELLA (1) | 10. MARIA TERESA ELLUL (1),municipio3_2021
77,131,0.22165820642978004,1. LORENZO SPIZZICHINO (11) | 2. SIMONA SORTINO (10) | 3. NASTASSJA HABDANK (9) | 4. ROBERTO CASAMENTO (9) | 5. PAOLA CAVALIERI (6) | 6. FEDERICA RAMPINI (4) | 7. FILIPPO MARIA LAGUZZI (4) | 8. NICOLETTA FUNGHI (3) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. MIRKO MANFRE' (2),municipio3_2021
78,87,0.22025316455696203,1. NASTASSJA HABDANK (6) | 2. MATTEO PIETROSANTE (5) | 3. SIMONA SORTINO (4) | 4. FEDERICA RAMPINI (3) | 5. LUIGI MAIO (3) | 6. ANTONIO COMITO (1) | 7. CESARE ALFIDI (1) | 8. FILIPPO MARIA LAGUZZI (1) | 9. LORENZO SPIZZICHINO (1) | 10. NICOLETTA FUNGHI (1),municipio3_2021
