,COD_ASC,SEZIONE,NOME_QUARTIERE
0,4f,1,Casal Boccone
1,1e,2,Esquilino
2,1e,3,Esquilino
3,1e,4,Esquilino
4,1e,5,Esquilino
5,1e,6,Esquilino
6,1e,7,Esquilino
7,1e,8,Esquilino
8,1e,9,Esquilino
9,1e,10,Esquilino
10,1e,11,Esquilino
11,1e,12,Esquilino
12,1e,13,Esquilino
13,1e,14,Esquilino
14,1e,15,Esquilino
15,1e,16,Esquilino
16,1e,17,Esquilino
17,1f,18,XX Settembre
18,1f,19,XX Settembre
19,1f,20,XX Settembre
20,1f,21,XX Settembre
21,1f,22,XX Settembre
22,1f,23,XX Settembre
23,1f,24,XX Settembre
24,4e,25,Serpentara
25,1e,26,Esquilino
26,1e,27,Esquilino
27,3x,28,Università 
28,3a,29,Nomentano
29,3a,30,Nomentano
30,3a,31,Nomentano
31,3a,32,Nomentano
32,3a,33,Nomentano
33,3a,34,Nomentano
34,3a,35,Nomentano
35,3a,36,Nomentano
36,4f,37,Casal Boccone
37,3a,38,Nomentano
38,3a,39,Nomentano
39,3a,40,Nomentano
40,3a,41,Nomentano
41,3x,42,Università 
42,3a,43,Nomentano
43,3a,44,Nomentano
44,3a,45,Nomentano
45,3a,46,Nomentano
46,3a,47,Nomentano
47,3a,48,Nomentano
48,3a,49,Nomentano
49,3a,50,Nomentano
50,3a,51,Nomentano
51,3a,52,Nomentano
52,3a,53,Nomentano
53,3a,54,Nomentano
54,3a,55,Nomentano
55,3a,56,Nomentano
56,3a,57,Nomentano
57,3a,58,Nomentano
58,3a,59,Nomentano
59,3a,60,Nomentano
60,3a,61,Nomentano
61,3a,62,Nomentano
62,3a,63,Nomentano
63,3a,64,Nomentano
64,3a,65,Nomentano
65,3a,66,Nomentano
66,4h,67,Sacco Pastore
67,4h,68,Sacco Pastore
68,4g,69,Conca d'Oro
69,4h,70,Sacco Pastore
70,4h,71,Sacco Pastore
71,4h,72,Sacco Pastore
72,4a,73,Monte Sacro
73,4a,74,Monte Sacro
74,4a,75,Monte Sacro
75,4a,76,Monte Sacro
76,4a,77,Monte Sacro
77,4h,78,Sacco Pastore
78,4h,79,Sacco Pastore
79,4h,80,Sacco Pastore
80,4a,81,Monte Sacro
81,4a,82,Monte Sacro
82,4a,83,Monte Sacro
83,4h,84,Sacco Pastore
84,4g,85,Conca d'Oro
85,4a,86,Monte Sacro
86,4a,87,Monte Sacro
87,4a,88,Monte Sacro
88,4i,89,Tufello
89,4i,90,Tufello
90,4a,91,Monte Sacro
91,4a,92,Monte Sacro
92,4g,93,Conca d'Oro
93,4g,94,Conca d'Oro
